"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus slateri",43.43,22.7,8.73,11.56,21.23,3.53,4.12,14.46,9.87,187,15.99,14.69,14.67,23.46,25.63,31.36,15.11,12.26
"Ctenophorus slateri",42.66,27.09,10.03,12.85,22.97,3.41,4.38,17.52,10.65,174,12.49,13.64,14.65,23.62,26.59,30.69,13,13.23
"Ctenophorus slateri",40.19,22.72,8.73,10.73,19.52,3.24,4.08,15,10.03,178,12.75,13.22,13.61,21.07,24.74,31.64,13.49,11.79
"Ctenophorus slateri",44.83,25.5,8.3,12.97,23.09,4.06,4.85,16.46,11.51,177,14.37,13.42,13.78,24.64,26.06,32.45,13.45,12.47
"Ctenophorus spinodomus",25.33,15.08,5.54,6.59,9.95,1.92,2.83,6.58,6.07,123,7.85,7.5,8.45,12.9,15.17,21.26,8.32,6.4
"Ctenophorus spinodomus",25.74,11.47,5.48,5.66,9.07,2.71,2.53,6.95,5.55,99,7.09,6.72,8.6,10.84,13.45,17.92,10.12,5.37
"Ctenophorus spinodomus",20.17,11.09,3.57,5.78,8.72,2.51,2.25,6.6,5,90,6.42,5.4,7.46,9.23,10.67,16.62,7.68,5.12
"Ctenophorus tjakalpa",28.45,13.22,6.14,6.78,10.51,2.64,2.69,6.94,7.09,135,8.09,7.76,8.71,12.98,16.2,21.9,11.03,6.14
"Ctenophorus tjakalpa",28.09,13.67,5.09,6.62,10.53,2.25,3.03,7.08,5.82,116,8.35,7.7,8.45,12.81,14.96,19.82,9.57,6.08
"Ctenophorus tjakalpa",22.99,10.17,5.14,6.05,9.49,2.14,2.83,6.75,6.67,135,7.87,7.26,9.46,11.17,14.54,20.11,11.83,5.15
"Ctenophorus tjakalpa",24.08,10.92,5.75,6.26,9.27,2.54,2.73,6.63,5.87,126,7.88,7.17,8.41,12.25,14.54,21.19,9.03,5
"Ctenophorus tuniluki",18.55,10.75,4.01,5.91,8.53,1.75,2.42,7.05,4.73,82,5.73,5.56,7.29,8.67,11.82,17.12,7.85,5.1
"Ctenophorus vadnappa",38.73,22.36,7.89,11.23,19.73,3.59,4.66,12.31,8.75,162,11.4,11.79,14.6,18.89,21.72,30.23,14.63,10.98
"Ctenophorus vadnappa",38.55,21.46,8.56,10.39,17.98,3.25,4.72,12.58,8.84,156,11.43,10.68,13.21,19.74,21.57,28.75,11.8,10.78
